source,record_id,employee_id,trip_id,confidence,rationale
tmc_bookings,B1001,UNKNOWN,T0001,0.75,TMC trip anchor; identity=no strong HR match
tmc_bookings,B1002,E1002,T0002,1.0,TMC trip anchor; identity=employee_id+email+strong_name
tmc_bookings,B1003,E1003,T0003,0.75,TMC trip anchor; identity=employee_id+strong_name
tmc_bookings,B1004,E1004,T0004,1.0,TMC trip anchor; identity=employee_id+email+strong_name
tmc_bookings,B1005,UNKNOWN,T0005,0.75,TMC trip anchor; identity=no strong HR match
tmc_bookings,B1006,E1007,T0006,0.97,TMC trip anchor; identity=employee_id+email+fuzzy_name
tmc_bookings,B1007,E1008,T0007,0.97,TMC trip anchor; identity=employee_id+email+fuzzy_name
tmc_bookings,B1008,E1009,T0008,0.85,TMC trip anchor; identity=employee_id+email
tmc_bookings,B1009,E1010,T0009,0.97,TMC trip anchor; identity=employee_id+email+fuzzy_name
tmc_bookings,B1011,UNKNOWN,T0010,0.75,TMC trip anchor; identity=no strong HR match
tmc_bookings,B1012,E1014,T0011,0.75,TMC trip anchor; identity=email+fuzzy_name
tmc_bookings,B1013,E1015,T0012,0.85,TMC trip anchor; identity=employee_id+email
tmc_bookings,B1014,E1021,T0013,1.0,TMC trip anchor; identity=employee_id+email+strong_name
tmc_bookings,B1015,E1022,T0014,1.0,TMC trip anchor; identity=employee_id+email+strong_name
tmc_bookings,B1016,E1023,T0015,1.0,TMC trip anchor; identity=employee_id+email+strong_name
tmc_bookings,B1018,UNKNOWN,T0016,0.75,TMC trip anchor; identity=no strong HR match
flight_segments,F1001,UNKNOWN,T0001,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1002,UNKNOWN,T0001,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1003,E1002,T0002,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1004,E1002,T0002,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1005,E1003,T0003,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1006,E1003,T0003,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1007,E1004,T0004,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1008,E1004,T0004,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1009,UNKNOWN,T0005,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1010,UNKNOWN,T0005,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1011,E1007,T0006,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1012,E1007,T0006,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1013,E1008,T0007,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1014,E1008,T0007,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1015,E1009,T0008,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1016,E1009,T0008,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1017,E1010,T0009,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1018,E1010,T0009,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1019,UNKNOWN,T0010,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1020,UNKNOWN,T0010,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1021,E1014,T0011,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1022,E1014,T0011,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1023,E1022,T0014,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1024,E1022,T0014,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1025,E1023,T0015,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1026,E1023,T0015,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1027,UNKNOWN,T0016,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1028,UNKNOWN,T0016,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1029,E1015,T0012,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1030,E1015,T0012,0.85,record_locator+booking_id+flight_date; status=canceled
flight_segments,F1031,E1015,T0012,1.0,record_locator+booking_id+flight_date; status=ticketed
flight_segments,F1032,E1021,T0013,0.85,record_locator+booking_id+flight_date; status=held
flight_segments,F1033,E1021,T0013,0.85,record_locator+booking_id+flight_date; status=held
hotel_stays,H1001,UNKNOWN,T0001,0.65,booking_id+hotel_dates
hotel_stays,H1002,E1002,T0002,0.65,booking_id+hotel_dates
hotel_stays,H1003,E1003,T0003,0.65,booking_id+hotel_dates
hotel_stays,H1004,E1004,T0004,0.65,booking_id+hotel_dates
hotel_stays,H1005,UNKNOWN,T0005,0.65,booking_id+hotel_dates
hotel_stays,H1006,E1007,T0006,0.65,booking_id+hotel_dates
hotel_stays,H1007,E1008,T0007,0.65,booking_id+hotel_dates
hotel_stays,H1008,E1009,T0008,0.65,booking_id+hotel_dates
hotel_stays,H1009,E1010,T0009,0.65,booking_id+hotel_dates
hotel_stays,H1010,UNKNOWN,NO_TRIP,0.0,no reliable TMC trip match
